job_id,job_title,company,location,remote,experience_level,employment_type,salary_min,salary_max,skills,date_posted
JP-1025,Data Engineer,Redwood Group,"Austin, TX",No,Mid Level,Contract,76500,111500,"Spark, AWS, Hadoop, Snowflake, Airflow, Docker",2026-08-19
JP-1035,Machine Learning Engineer,Riverbend Digital,"Seattle, WA",No,Senior,Contract,123000,164500,"SQL, Kubernetes, TensorFlow, Machine Learning, Statistics, AWS",2026-08-16
JP-1085,Product Manager,Cascade Labs,"Chicago, IL",No,Senior,Internship,106500,140000,"SQL, Project Management, Communication, Leadership, Data Analysis, Agile",2026-08-16
JP-1144,Backend Developer,Meridian Consulting,"Dallas, TX",No,Mid Level,Full-time,68500,103500,"AWS, SQL, REST APIs, Docker",2026-08-15
JP-1033,Machine Learning Engineer,Cascade Group,"Raleigh, NC",No,Mid Level,Full-time,65000,103500,"Statistics, AWS, TensorFlow, Kubernetes",2026-08-11
JP-1046,Data Engineer,BlueOrbit Labs,"Atlanta, GA",No,Entry Level,Full-time,50000,70500,"AWS, Snowflake, Python, Hadoop, SQL",2026-08-09
JP-1047,BI Developer,Silverline Analytics,"Atlanta, GA",No,Mid Level,Full-time,70000,100000,"Data Analysis, Snowflake, Excel, ETL, SQL",2026-08-08
JP-1060,Software Engineer,Northwind Consulting,"Denver, CO",No,Mid Level,Contract,73500,110500,"Python, Git, Docker, JavaScript, REST APIs, React",2026-08-08
JP-1104,Cloud Engineer,Anchorpoint Analytics,"Chicago, IL",No,Mid Level,Full-time,69500,102000,"Linux, AWS, Azure, CI/CD",2026-08-08
JP-1003,Business Analyst,Fieldstone Consulting,"Denver, CO",No,Entry Level,Part-time,48500,77000,"Excel, Communication, Data Analysis, Agile, SQL",2026-08-07
JP-1041,Data Analyst,BlueOrbit Software,"Raleigh, NC",No,Mid Level,Internship,66500,93000,"Data Analysis, Statistics, Excel, SQL, Communication",2026-08-06
JP-1066,Backend Developer,Nova Software,"Los Angeles, CA",No,Senior,Internship,113500,165000,"Python, Docker, REST APIs, .NET, Java",2026-08-05
